Wavelength (nm),Energy (eV),e1,e2,n,k
211.341217,5.867289,-5.917663,6.724091,1.232797,2.727169
212.932571,5.82344,-5.989316,6.927778,1.258674,2.752013
214.523956,5.780241,-6.058547,7.136192,1.285031,2.776662
216.115387,5.737676,-6.125176,7.349375,1.311871,2.801104
217.706833,5.695733,-6.189014,7.567357,1.3392,2.825327
219.29834,5.654397,-6.249868,7.79017,1.367023,2.849319
220.889862,5.613657,-6.307537,8.017833,1.395343,2.873068
222.481415,5.573499,-6.361813,8.25036,1.424165,2.89656
224.072998,5.533911,-6.412483,8.487759,1.453492,2.919781
225.664627,5.49488,-6.459328,8.730035,1.483328,2.942718
227.256271,5.456395,-6.502121,8.977176,1.513676,2.965356
228.847977,5.418444,-6.540629,9.229169,1.544538,2.987679
230.439667,5.381018,-6.574614,9.485978,1.575916,3.009672
232.031418,5.344104,-6.603832,9.747577,1.607811,3.031318
233.623199,5.307692,-6.628035,10.013911,1.640226,3.052601
235.215012,5.271772,-6.646967,10.284928,1.67316,3.073505
236.806839,5.236335,-6.66037,10.560548,1.706612,3.094009
238.398712,5.201371,-6.667983,10.840693,1.740583,3.114099
239.990601,5.166869,-6.669537,11.125265,1.77507,3.133754
241.58252,5.132822,-6.664765,11.414151,1.810072,3.152955
243.174469,5.09922,-6.653397,11.707226,1.845585,3.171684
244.766434,5.066054,-6.635157,12.004346,1.881606,3.189921
246.358429,5.033317,-6.609775,12.305357,1.918129,3.207646
247.95047,5.000999,-6.576974,12.610088,1.95515,3.224839
249.542511,4.969093,-6.536487,12.918342,1.992662,3.241479
251.134598,4.937592,-6.48804,13.229918,2.030657,3.257546
252.726685,4.906486,-6.431369,13.544583,2.069127,3.273019
254.318817,4.87577,-6.36621,13.862103,2.108063,3.287877
255.910965,4.845435,-6.292308,14.182206,2.147453,3.302099
257.503143,4.815475,-6.209411,14.504622,2.187287,3.315665
259.095337,4.785883,-6.11728,14.829043,2.227551,3.328553
260.687561,4.756652,-6.015681,15.155161,2.268233,3.340742
262.279816,4.727775,-5.904395,15.48263,2.309315,3.352213
263.872101,4.699246,-5.78321,15.811106,2.350783,3.362944
265.464386,4.67106,-5.651936,16.140207,2.392619,3.372916
267.056702,4.643209,-5.510391,16.469549,2.434804,3.382109
268.649017,4.615688,-5.358413,16.798723,2.477319,3.390505
270.241364,4.588491,-5.195861,17.127306,2.520142,3.398084
271.83374,4.561612,-5.022607,17.454865,2.563251,3.404829
273.426117,4.535046,-4.838552,17.780941,2.606623,3.410724
275.018555,4.508787,-4.643613,18.105076,2.650234,3.415751
276.610992,4.48283,-4.437739,18.426785,2.694057,3.419895
278.20343,4.45717,-4.220902,18.745579,2.738066,3.423143
279.795898,4.431802,-3.993091,19.060972,2.782233,3.42548
281.388367,4.406721,-3.754339,19.372448,2.82653,3.426895
