Energy (eV),Wavelength (nm),e1,e2,n,k
5.867289,211.341217,-2.973034,4.302556,1.062256,2.025197
5.82344,212.932571,-3.019459,4.427335,1.08155,2.046756
5.780241,214.523956,-3.06434,4.555178,1.10128,2.068129
5.737676,216.115387,-3.107565,4.686104,1.121448,2.089309
5.695733,217.706833,-3.149015,4.820128,1.142056,2.110286
5.654397,219.29834,-3.18857,4.957263,1.163103,2.131051
5.613657,220.889862,-3.226104,5.097515,1.18459,2.151594
5.573499,222.481415,-3.261486,5.24089,1.206519,2.171906
5.533911,224.072998,-3.294584,5.387387,1.228889,2.191974
5.49488,225.664627,-3.32526,5.537005,1.251702,2.211791
5.456395,227.256271,-3.353374,5.689733,1.274957,2.231343
5.418444,228.847977,-3.37878,5.845559,1.298656,2.250619
5.381018,230.439667,-3.401329,6.004457,1.322796,2.269608
5.344104,232.031418,-3.42087,6.166408,1.347379,2.288297
5.307692,233.623199,-3.437248,6.331374,1.372404,2.306673
5.271772,235.215012,-3.450304,6.49932,1.397869,2.324724
5.236335,236.806839,-3.459877,6.670192,1.423773,2.342436
5.201371,238.398712,-3.465804,6.843942,1.450113,2.359795
5.166869,239.990601,-3.467919,7.020502,1.476889,2.376788
5.132822,241.58252,-3.466054,7.199802,1.504096,2.393399
5.09922,243.174469,-3.460041,7.381762,1.531731,2.409614
5.066054,244.766434,-3.44971,7.566289,1.55979,2.425419
5.033317,246.358429,-3.43489,7.753285,1.588269,2.440797
5.000999,247.95047,-3.415412,7.942642,1.617163,2.455734
4.969093,249.542511,-3.391105,8.134233,1.646464,2.470213
4.937592,251.134598,-3.361803,8.327935,1.676168,2.484219
4.906486,252.726685,-3.327339,8.523598,1.706265,2.497735
4.87577,254.318817,-3.287548,8.721074,1.736749,2.510746
4.845435,255.910965,-3.242274,8.920194,1.76761,2.523236
4.815475,257.503143,-3.191357,9.120786,1.798838,2.535188
4.785883,259.095337,-3.13465,9.322657,1.830423,2.546586
4.756652,260.687561,-3.072007,9.525613,1.862353,2.557414
4.727775,262.279816,-3.003291,9.729438,1.894615,2.567656
4.699246,263.872101,-2.928371,9.933914,1.927197,2.577296
4.67106,265.464386,-2.847127,10.138803,1.960083,2.58632
4.643209,267.056702,-2.759448,10.343864,1.993259,2.594712
4.615688,268.649017,-2.665231,10.548841,2.026709,2.602456
4.588491,270.241364,-2.56439,10.753466,2.060414,2.60954
4.561612,271.83374,-2.456844,10.957471,2.094359,2.615948
4.535046,273.426117,-2.342533,11.160565,2.128524,2.621668
4.508787,275.018555,-2.221405,11.362466,2.162888,2.626688
4.48283,276.610992,-2.093427,11.562865,2.197432,2.630995
4.45717,278.20343,-1.958584,11.761458,2.232133,2.634578
4.431802,279.795898,-1.816869,11.957941,2.26697,2.637428
4.406721,281.388367,-1.668303,12.151992,2.30192,2.639534
4.381921,282.980896,-1.512916,12.343294,2.336959,2.640888
4.357399,284.573425,-1.350761,12.531528,2.372062,2.641484
4.33315,286.165955,-1.181912,12.716369,2.407204,2.641315
4.309169,287.758484,-1.006457,12.897498,2.442361,2.640375
4.285452,289.351044,-0.824508,13.074594,2.477504,2.638662
4.261994,290.943665,-0.636189,13.247347,2.512611,2.636172
4.238791,292.536224,-0.441657,13.415437,2.547651,2.632904
4.215839,294.128845,-0.241072,13.578568,2.582599,2.628857
4.193135,295.721497,-0.034626,13.736438,2.617428,2.624034
4.170673,297.314117,0.177474,13.88876,2.652109,2.618437
4.148451,298.906769,0.395008,14.035258,2.686617,2.612069
4.126463,300.499451,0.617735,14.175669,2.720924,2.604936
4.104708,302.092102,0.845394,14.309737,2.755003,2.597046
4.083181,303.684814,1.077716,14.437229,2.788827,2.588405
4.061878,305.277527,1.314409,14.55792,2.82237,2.579024
4.040796,306.870239,1.555175,14.67161,2.855607,2.568913
4.019931,308.462952,1.799698,14.77811,2.888511,2.558084
3.999282,310.055695,2.047655,14.877251,2.921058,2.546552
3.978842,311.648438,2.298714,14.968887,2.953225,2.534329
3.958611,313.24118,2.552531,15.052891,2.984988,2.521432
3.938584,314.833954,2.808764,15.129154,3.016325,2.507879
3.918759,316.426727,3.067054,15.197591,3.047215,2.493685
3.899132,318.019501,3.327046,15.258136,3.077637,2.478872
3.8797,319.612305,3.588388,15.310745,3.107573,2.463457
3.860462,321.205109,3.850718,15.355396,3.137003,2.447463
3.841413,322.797913,4.11368,15.392088,3.165912,2.430909
3.822551,324.390686,4.37692,15.420838,3.194283,2.413819
3.803873,325.983521,4.640096,15.441689,3.222101,2.396214
3.785377,327.576355,4.902859,15.454697,3.249354,2.378118
3.76706,329.169189,5.164878,15.459941,3.27603,2.359554
3.748919,330.762024,5.425818,15.457517,3.302117,2.340547
3.730952,332.354858,5.68537,15.447537,3.327606,2.321119
3.713156,333.947693,5.943222,15.430133,3.352489,2.301295
3.695529,335.540558,6.199079,15.40545,3.376758,2.2811
3.678069,337.133392,6.452658,15.373645,3.400409,2.260558
3.660773,338.726257,6.703688,15.334892,3.423436,2.239693
3.643639,340.319092,6.951914,15.289375,3.445836,2.218529
3.626665,341.911957,7.197096,15.237289,3.467607,2.19709
3.609848,343.504822,7.439001,15.178839,3.488748,2.175399
3.593186,345.097687,7.677423,15.114237,3.509259,2.15348
3.576677,346.690552,7.912161,15.043702,3.529141,2.131355
3.560319,348.283386,8.143029,14.967464,3.548395,2.109047
3.54411,349.876282,8.369868,14.885751,3.567026,2.086577
3.528048,351.469147,8.592523,14.798798,3.585036,2.063968
3.512131,353.061981,8.810852,14.706844,3.602431,2.041239
3.496357,354.654846,9.024742,14.610126,3.619216,2.018411
3.480724,356.247742,9.23408,14.508887,3.635397,1.995502
3.46523,357.840576,9.438773,14.403367,3.650981,1.972534
3.449874,359.433411,9.638741,14.293804,3.665976,1.949522
3.434653,361.026306,9.833922,14.180432,3.68039,1.926485
3.419566,362.619141,10.024258,14.063492,3.694231,1.90344
3.404611,364.211975,10.209708,13.943212,3.707509,1.880402
3.389786,365.80484,10.390244,13.819819,3.720232,1.857387
3.375089,367.397675,10.565845,13.69354,3.732412,1.834409
3.36052,368.990509,10.736503,13.564591,3.744058,1.811482
3.346076,370.583313,10.902221,13.433188,3.755181,1.788621
3.331756,372.176147,11.063009,13.299537,3.765791,1.765836
3.317557,373.768982,11.218887,13.163838,3.7759,1.743139
3.303479,375.361786,11.369884,13.026291,3.785519,1.720543
3.289521,376.95459,11.516031,12.887085,3.794658,1.698056
3.27568,378.547394,11.657373,12.746402,3.803329,1.67569
3.261955,380.140198,11.79396,12.604418,3.811544,1.653453
3.248344,381.732971,11.92584,12.461304,3.819314,1.631354
3.234847,383.325745,12.053077,12.317221,3.826649,1.6094
3.221461,384.918518,12.175735,12.172325,3.833563,1.587599
3.208186,386.511261,12.293879,12.026769,3.840066,1.565959
3.19502,388.104004,12.407582,11.88069,3.846169,1.544484
3.181961,389.696747,12.516922,11.734226,3.851883,1.52318
3.169009,391.28949,12.621973,11.587507,3.857219,1.502054
3.156162,392.882202,12.722818,11.440655,3.862189,1.48111
3.143419,394.474915,12.819538,11.293787,3.866803,1.460352
3.130779,396.067596,12.912219,11.147011,3.871072,1.439784
3.11824,397.660278,13.000944,11.000433,3.875005,1.419409
3.1058,399.25296,13.085802,10.85415,3.878614,1.39923
3.09346,400.845612,13.166879,10.708254,3.881908,1.379251
3.081218,402.438232,13.244263,10.562834,3.884898,1.359474
3.069072,404.030884,13.318044,10.417966,3.887592,1.339899
3.057022,405.623474,13.388308,10.273732,3.890001,1.320531
3.045066,407.216095,13.455145,10.1302,3.892134,1.301368
3.033204,408.808655,13.518641,9.987437,3.893999,1.282414
3.021433,410.401276,13.578885,9.845502,3.895606,1.263668
3.009754,411.993805,13.635962,9.70446,3.896962,1.245131
2.998165,413.586334,13.689958,9.564358,3.898077,1.226804
2.986665,415.178864,13.740958,9.425243,3.898959,1.208687
2.975252,416.771393,13.789047,9.287163,3.899616,1.190779
2.963927,418.363861,13.834305,9.150162,3.900054,1.173081
2.952688,419.95636,13.876815,9.014274,3.900283,1.155592
2.941534,421.548767,13.916655,8.879537,3.900309,1.138312
2.930464,423.141205,13.953905,8.745979,3.900139,1.12124
2.919477,424.733643,13.988644,8.61363,3.89978,1.104374
2.908572,426.326019,14.020944,8.482517,3.899239,1.087714
2.897749,427.918396,14.05088,8.352661,3.898523,1.07126
2.887006,429.510803,14.078527,8.224081,3.897637,1.055009
2.876342,431.103119,14.103953,8.0968,3.896587,1.03896
2.865757,432.695404,14.127229,7.970833,3.89538,1.023113
2.85525,434.287689,14.148422,7.84619,3.894022,1.007466
2.84482,435.879974,14.167599,7.722882,3.892518,0.992016
2.834466,437.472229,14.184823,7.600924,3.890872,0.976763
2.824187,439.064453,14.200158,7.480319,3.889092,0.961705
2.813982,440.656677,14.213666,7.361074,3.88718,0.94684
2.803851,442.24884,14.225405,7.243202,3.885143,0.932167
2.793793,443.841003,14.235435,7.126693,3.882985,0.917682
2.783807,445.433167,14.243811,7.011559,3.880711,0.903386
2.773893,447.025238,14.250588,6.897799,3.878324,0.889276
2.764048,448.61734,14.255821,6.785409,3.87583,0.875349
2.754274,450.209381,14.259562,6.674392,3.873232,0.861605
2.744569,451.801422,14.261861,6.564741,3.870534,0.848041
2.734932,453.393402,14.262767,6.456458,3.86774,0.834655
2.725362,454.985413,14.262327,6.349533,3.864854,0.821445
2.71586,456.577332,14.26059,6.243965,3.86188,0.80841
2.706423,458.169281,14.257598,6.139745,3.85882,0.795547
2.697052,459.761169,14.253397,6.03687,3.855679,0.782854
2.687747,461.353027,14.248028,5.935333,3.852458,0.770331
2.678505,462.944885,14.241533,5.835123,3.849163,0.757973
2.669326,464.536713,14.233952,5.736231,3.845795,0.74578
2.660211,466.128479,14.225323,5.638655,3.842357,0.733749
2.651158,467.720215,14.215684,5.54238,3.838853,0.72188
2.642166,469.311951,14.20507,5.447396,3.835285,0.710168
2.633235,470.903656,14.19352,5.353696,3.831655,0.698614
2.624365,472.4953,14.181065,5.261271,3.827967,0.687215
2.615554,474.086914,14.167739,5.170108,3.824222,0.675969
2.606803,475.678528,14.153575,5.080195,3.820423,0.664873
2.598109,477.270111,14.138602,4.991522,3.816572,0.653927
2.589475,478.861633,14.122853,4.904081,3.812672,0.643129
2.580897,480.453125,14.106357,4.817857,3.808725,0.632476
2.572376,482.044586,14.08914,4.73284,3.804732,0.621968
2.563911,483.636047,14.071232,4.649016,3.800696,0.611601
2.555503,485.227386,14.052659,4.566379,3.796618,0.601375
2.547149,486.818787,14.033445,4.484909,3.792501,0.591286
2.53885,488.410095,14.013618,4.404601,3.788347,0.581335
2.530605,490.001404,13.993201,4.325438,3.784156,0.57152
2.522414,491.592621,13.972219,4.247415,3.779931,0.561838
2.514275,493.183899,13.950691,4.17051,3.775674,0.552287
2.506189,494.775055,13.928644,4.094719,3.771385,0.542867
2.498156,496.366211,13.906096,4.020026,3.767067,0.533575
2.490174,497.957275,13.883069,3.946422,3.762722,0.524411
2.482242,499.548401,13.859582,3.87389,3.758349,0.515371
2.474361,501.139404,13.835657,3.802423,3.753952,0.506456
2.466531,502.730377,13.811312,3.732007,3.749531,0.497663
2.45875,504.32135,13.786564,3.662629,3.745087,0.488991
2.451018,505.912262,13.761432,3.594278,3.740622,0.480439
2.443335,507.503113,13.735932,3.526942,3.736137,0.472004
2.4357,509.093933,13.710083,3.460611,3.731633,0.463686
2.428112,510.684753,13.6839,3.395269,3.727112,0.455483
2.420573,512.275513,13.657399,3.33091,3.722574,0.447393
2.41308,513.866211,13.630594,3.267518,3.718021,0.439416
2.405633,515.456909,13.603502,3.205083,3.713454,0.43155
2.398232,517.047485,13.576137,3.143593,3.708873,0.423794
2.390877,518.638062,13.548511,3.083039,3.70428,0.416145
2.383568,520.228638,13.520639,3.023407,3.699675,0.408604
2.376302,521.819092,13.492536,2.964688,3.69506,0.401169
2.369082,523.409546,13.464211,2.906867,3.690436,0.393838
2.361905,524.999939,13.435678,2.849939,3.685803,0.38661
2.354772,526.590332,13.40695,2.793888,3.681163,0.379484
2.347682,528.180603,13.378037,2.738707,3.676515,0.37246
2.340634,529.770874,13.348952,2.684382,3.671862,0.365534
2.333629,531.361145,13.319705,2.630905,3.667203,0.358707
2.326667,532.951294,13.290307,2.578264,3.662539,0.351978
2.319746,534.541382,13.260769,2.526452,3.657873,0.345344
2.312865,536.13147,13.231099,2.475453,3.653203,0.338806
2.306026,537.721558,13.201309,2.425261,3.64853,0.332361
2.299228,539.311523,13.171407,2.375865,3.643856,0.32601
2.292469,540.901489,13.141403,2.327255,3.639182,0.31975
2.285751,542.491333,13.111306,2.279421,3.634507,0.31358
2.279072,544.081177,13.081124,2.232353,3.629832,0.307501
2.272432,545.671021,13.050866,2.186042,3.625159,0.30151
2.265831,547.260681,13.020541,2.14048,3.620487,0.295607
2.259268,548.850403,12.990155,2.095654,3.615817,0.28979
2.252743,550.440063,12.959718,2.051557,3.61115,0.284059
2.246256,552.029663,12.929235,2.008179,3.606487,0.278412
2.239807,553.619141,12.898716,1.965512,3.601828,0.272849
2.233395,555.208618,12.868165,1.923545,3.597173,0.267369
2.227019,556.798035,12.837592,1.882272,3.592523,0.261971
2.22068,558.387451,12.807002,1.84168,3.587878,0.256653
2.214378,559.976746,12.776402,1.801764,3.583241,0.251415
2.208111,561.56604,12.745798,1.762514,3.578609,0.246257
2.20188,563.155212,12.715197,1.723922,3.573984,0.241176
2.195684,564.744385,12.684604,1.685978,3.569367,0.236173
2.189523,566.333496,12.654024,1.648675,3.564758,0.231246
2.183396,567.922546,12.623465,1.612004,3.560157,0.226395
2.177305,569.511536,12.592931,1.575958,3.555565,0.221618
2.171247,571.100464,12.562427,1.540527,3.550983,0.216916
2.165223,572.689331,12.531959,1.505705,3.54641,0.212286
2.159232,574.278198,12.501531,1.471482,3.541847,0.207728
2.153275,575.866943,12.471148,1.437852,3.537295,0.203242
2.147351,577.455688,12.440817,1.404807,3.532754,0.198826
2.14146,579.044312,12.410541,1.372339,3.528224,0.19448
2.135601,580.632874,12.380323,1.34044,3.523705,0.190203
2.129774,582.221375,12.35017,1.309102,3.519199,0.185994
2.123979,583.809875,12.320084,1.278319,3.514705,0.181853
2.118216,585.398315,12.290069,1.248083,3.510224,0.177778
2.112484,586.986633,12.260131,1.218387,3.505756,0.173769
2.106784,588.57489,12.230272,1.189223,3.501302,0.169826
2.101114,590.163147,12.200497,1.160585,3.496861,0.165947
2.095475,591.751343,12.170808,1.132464,3.492434,0.162131
2.089866,593.339417,12.141211,1.104856,3.488022,0.158379
2.084288,594.927429,12.111707,1.077753,3.483624,0.154688
2.078739,596.515442,12.082299,1.051147,3.479241,0.15106
2.07322,598.103394,12.052993,1.025031,3.474874,0.147492
2.067731,599.691223,12.023789,0.999401,3.470522,0.143984
2.062271,601.278992,11.994693,0.974248,3.466186,0.140536
2.056839,602.866699,11.965705,0.949567,3.461866,0.137147
2.051437,604.454407,11.936829,0.92535,3.457562,0.133815
2.046063,606.041931,11.908069,0.901593,3.453275,0.130542
2.040717,607.629517,11.879425,0.878287,3.449005,0.127325
2.0354,609.216919,11.850902,0.855427,3.444752,0.124164
2.03011,610.804321,11.8225,0.833007,3.440517,0.121058
2.024848,612.391663,11.794224,0.81102,3.436299,0.118008
2.019613,613.978943,11.766073,0.789461,3.432099,0.115011
2.014406,615.566101,11.738053,0.768324,3.427917,0.112069
2.009225,617.153259,11.710163,0.747602,3.423753,0.109179
2.004072,618.740295,11.682408,0.727291,3.419608,0.106341
1.998945,620.327271,11.654787,0.707383,3.415481,0.103555
1.993844,621.914185,11.627303,0.687873,3.411373,0.100821
1.98877,623.501099,11.599958,0.668756,3.407285,0.098136
1.983721,625.08783,11.572754,0.650027,3.403215,0.095502
1.978698,626.674561,11.545692,0.631679,3.399166,0.092917
1.973701,628.261169,11.518776,0.613707,3.395135,0.09038
1.96873,629.847778,11.492003,0.596106,3.391125,0.087892
1.963783,631.434204,11.465379,0.57887,3.387135,0.085451
1.958862,633.02063,11.438903,0.561994,3.383164,0.083057
1.953965,634.606995,11.412577,0.545473,3.379215,0.08071
1.949093,636.193237,11.386401,0.529301,3.375285,0.078408
1.944246,637.779419,11.360379,0.513474,3.371376,0.076152
1.939422,639.365601,11.33451,0.497986,3.367488,0.07394
1.934623,640.95166,11.308795,0.482832,3.363621,0.071773
1.929848,642.537659,11.283237,0.468008,3.359775,0.069649
1.925097,644.123535,11.257835,0.453508,3.35595,0.067568
1.920369,645.709351,11.232592,0.439328,3.352146,0.065529
1.915664,647.295105,11.207507,0.425463,3.348364,0.063533
1.910983,648.880737,11.182583,0.411909,3.344604,0.061578
1.906325,650.46637,11.157818,0.398659,3.340865,0.059664
1.901689,652.05188,11.133215,0.38571,3.337148,0.05779
1.897076,653.637329,11.108773,0.373058,3.333452,0.055957
1.892486,655.222717,11.084496,0.360697,3.329779,0.054162
1.887918,656.807983,11.06038,0.348624,3.326128,0.052407
1.883373,658.393188,11.036429,0.336833,3.322499,0.05069
1.87885,659.978333,11.012643,0.325321,3.318892,0.04901
1.874348,661.563354,10.989021,0.314082,3.315308,0.047369
1.869868,663.148315,10.965566,0.303114,3.311746,0.045763
1.86541,664.733276,10.942276,0.292411,3.308206,0.044195
