Energy (eV),Wavelength (nm),e1,e2,n,k
5.867289,211.341217,3.247635,0,1.80212,0
5.82344,212.932571,3.24219,0,1.800608,0
5.780241,214.523956,3.236927,0,1.799146,0
5.737676,216.115387,3.231848,0,1.797734,0
5.695733,217.706833,3.226934,0,1.796367,0
5.654397,219.29834,3.222179,0,1.795043,0
5.613657,220.889862,3.217578,0,1.793761,0
5.573499,222.481415,3.213123,0,1.792519,0
5.533911,224.072998,3.208807,0,1.791314,0
5.49488,225.664627,3.204625,0,1.790147,0
5.456395,227.256271,3.200569,0,1.789013,0
5.418444,228.847977,3.196635,0,1.787914,0
5.381018,230.439667,3.192819,0,1.786846,0
5.344104,232.031418,3.189117,0,1.78581,0
5.307692,233.623199,3.18552,0,1.784803,0
5.271772,235.215012,3.182026,0,1.783823,0
5.236335,236.806839,3.178632,0,1.782872,0
5.201371,238.398712,3.175329,0,1.781945,0
5.166869,239.990601,3.172124,0,1.781046,0
5.132822,241.58252,3.169002,0,1.780169,0
5.09922,243.174469,3.165963,0,1.779315,0
5.066054,244.766434,3.16301,0,1.778485,0
5.033317,246.358429,3.160133,0,1.777676,0
5.000999,247.95047,3.157329,0,1.776887,0
4.969093,249.542511,3.1546,0,1.776119,0
4.937592,251.134598,3.151937,0,1.77537,0
4.906486,252.726685,3.149347,0,1.77464,0
4.87577,254.318817,3.146817,0,1.773927,0
4.845435,255.910965,3.144353,0,1.773232,0
4.815475,257.503143,3.14195,0,1.772555,0
4.785883,259.095337,3.139603,0,1.771893,0
4.756652,260.687561,3.137312,0,1.771246,0
4.727775,262.279816,3.135079,0,1.770616,0
4.699246,263.872101,3.132893,0,1.769998,0
4.67106,265.464386,3.130764,0,1.769396,0
4.643209,267.056702,3.128681,0,1.768808,0
4.615688,268.649017,3.126645,0,1.768232,0
4.588491,270.241364,3.124659,0,1.76767,0
4.561612,271.83374,3.122713,0,1.76712,0
4.535046,273.426117,3.120815,0,1.766583,0
4.508787,275.018555,3.118956,0,1.766057,0
4.48283,276.610992,3.117136,0,1.765541,0
4.45717,278.20343,3.115356,0,1.765037,0
4.431802,279.795898,3.113618,0,1.764545,0
4.406721,281.388367,3.111915,0,1.764062,0
4.381921,282.980896,3.110245,0,1.763589,0
4.357399,284.573425,3.108615,0,1.763126,0
4.33315,286.165955,3.107017,0,1.762673,0
4.309169,287.758484,3.105453,0,1.76223,0
4.285452,289.351044,3.103919,0,1.761794,0
4.261994,290.943665,3.102415,0,1.761367,0
4.238791,292.536224,3.100943,0,1.760949,0
4.215839,294.128845,3.0995,0,1.76054,0
4.193135,295.721497,3.098088,0,1.760139,0
4.170673,297.314117,3.096701,0,1.759745,0
4.148451,298.906769,3.09534,0,1.759358,0
4.126463,300.499451,3.094008,0,1.758979,0
4.104708,302.092102,3.092701,0,1.758608,0
4.083181,303.684814,3.091416,0,1.758242,0
4.061878,305.277527,3.090155,0,1.757884,0
4.040796,306.870239,3.08892,0,1.757532,0
4.019931,308.462952,3.087709,0,1.757188,0
3.999282,310.055695,3.086519,0,1.756849,0
3.978842,311.648438,3.08535,0,1.756516,0
3.958611,313.24118,3.084203,0,1.75619,0
3.938584,314.833954,3.083078,0,1.75587,0
3.918759,316.426727,3.081971,0,1.755554,0
3.899132,318.019501,3.080883,0,1.755244,0
3.8797,319.612305,3.079816,0,1.75494,0
3.860462,321.205109,3.078769,0,1.754642,0
3.841413,322.797913,3.07774,0,1.754349,0
3.822551,324.390686,3.076727,0,1.75406,0
3.803873,325.983521,3.075734,0,1.753777,0
3.785377,327.576355,3.074756,0,1.753498,0
3.76706,329.169189,3.073794,0,1.753224,0
3.748919,330.762024,3.072847,0,1.752954,0
3.730952,332.354858,3.071916,0,1.752688,0
3.713156,333.947693,3.071003,0,1.752428,0
3.695529,335.540558,3.070105,0,1.752172,0
3.678069,337.133392,3.069218,0,1.751918,0
3.660773,338.726257,3.068348,0,1.75167,0
3.643639,340.319092,3.067493,0,1.751426,0
3.626665,341.911957,3.066651,0,1.751186,0
3.609848,343.504822,3.065823,0,1.750949,0
3.593186,345.097687,3.065007,0,1.750716,0
3.576677,346.690552,3.064203,0,1.750486,0
