Energy (eV),Wavelength (nm),e1,e2,n,k
5.867289,211.341217,-7.851441,6.761768,1.120345,3.017717
5.82344,212.932571,-8.002801,6.971056,1.142458,3.050903
5.780241,214.523956,-8.156639,7.189577,1.165397,3.084605
5.737676,216.115387,-8.312568,7.418309,1.189286,3.118809
5.695733,217.706833,-8.470348,7.658015,1.214204,3.153512
5.654397,219.29834,-8.629884,7.909674,1.240248,3.188746
5.613657,220.889862,-8.791709,8.174489,1.267506,3.224636
5.573499,222.481415,-8.958185,8.455173,1.296159,3.261627
5.533911,224.072998,-9.133435,8.760964,1.327132,3.300714
5.49488,225.664627,-9.313084,9.115142,1.363523,3.342496
5.456395,227.256271,-9.45994,9.543753,1.410289,3.383616
5.418444,228.847977,-9.504384,10.028651,1.468423,3.414769
5.381018,230.439667,-9.408034,10.48128,1.5291,3.42727
5.344104,232.031418,-9.225615,10.807014,1.578553,3.423075
5.307692,233.623199,-9.058382,10.994319,1.610426,3.413481
5.271772,235.215012,-8.96818,11.095098,1.627605,3.408413
5.236335,236.806839,-8.961227,11.16632,1.636498,3.41165
5.201371,238.398712,-9.01914,11.237675,1.641682,3.42261
5.166869,239.990601,-9.127018,11.319309,1.645234,3.440031
5.132822,241.58252,-9.27521,11.413717,1.648031,3.462834
5.09922,243.174469,-9.459453,11.521936,1.650475,3.49049
5.066054,244.766434,-9.678798,11.645432,1.652831,3.522875
5.033317,246.358429,-9.932486,11.785728,1.655358,3.559873
5.000999,247.95047,-10.221458,11.945588,1.658365,3.601615
4.969093,249.542511,-10.547322,12.12904,1.662264,3.648348
4.937592,251.134598,-10.911263,12.340982,1.667574,3.700279
4.906486,252.726685,-11.313727,12.586867,1.674889,3.757523
4.87577,254.318817,-11.754946,12.873196,1.684892,3.820184
4.845435,255.910965,-12.234402,13.207115,1.698324,3.888278
4.815475,257.503143,-12.750809,13.596342,1.715959,3.961732
4.785883,259.095337,-13.301935,14.048963,1.738574,4.040369
4.756652,260.687561,-13.884681,14.573424,1.766937,4.123924
4.727775,262.279816,-14.495089,15.178354,1.801772,4.212063
4.699246,263.872101,-15.128519,15.87254,1.843753,4.30441
4.67106,265.464386,-15.780287,16.666481,1.893621,4.400692
4.643209,267.056702,-16.44594,17.570702,1.951999,4.500693
4.615688,268.649017,-17.122448,18.59807,2.019569,4.604466
4.588491,270.241364,-17.806683,19.771032,2.097743,4.712452
4.561612,271.83374,-18.485691,21.131491,2.189782,4.825022
4.535046,273.426117,-19.113821,22.731453,2.300611,4.940307
4.508787,275.018555,-19.601921,24.594053,2.433935,5.052322
4.48283,276.610992,-19.825203,26.686501,2.590315,5.151207
4.45717,278.20343,-19.729839,28.878241,2.760862,5.229933
4.431802,279.795898,-19.37727,31.057301,2.935065,5.290735
4.406721,281.388367,-18.885851,33.244461,3.11035,5.344168
4.381921,282.980896,-18.266539,35.589287,3.296723,5.397677
4.357399,284.573425,-17.322781,38.211975,3.509442,5.444168
4.33315,286.165955,-15.771976,41.018459,3.753281,5.464347
4.309169,287.758484,-13.443663,43.700722,4.017347,5.439002
4.285452,289.351044,-10.365721,45.845581,4.280018,5.35577
4.261994,290.943665,-6.854806,47.191021,4.518377,5.22212
4.238791,292.536224,-3.281097,47.638649,4.715422,5.051366
4.215839,294.128845,0.015251,47.305382,4.864187,4.862619
4.193135,295.721497,2.857598,46.447952,4.969576,4.673231
4.170673,297.314117,5.19845,45.292122,5.039242,4.493942
4.148451,298.906769,7.06123,44.015415,5.081311,4.331108
4.126463,300.499451,8.533881,42.741306,5.104841,4.18635
4.104708,302.092102,9.703451,41.535629,5.116516,4.058976
4.083181,303.684814,10.64277,40.429222,5.121004,3.947392
4.061878,305.277527,11.411393,39.431549,5.12157,3.849557
4.040796,306.870239,12.055069,38.540016,5.120375,3.763398
4.019931,308.462952,12.60757,37.746544,5.118787,3.68706
3.999282,310.055695,13.093098,37.041862,5.117659,3.619024
3.978842,311.648438,13.530885,36.41407,5.117501,3.557798
3.958611,313.24118,13.933912,35.853657,5.118593,3.502296
3.938584,314.833954,14.311773,35.35202,5.121078,3.451619
3.918759,316.426727,14.671494,34.901466,5.125002,3.40502
3.899132,318.019501,15.018128,34.495346,5.130346,3.361893
