Wavelength (nm),Energy (eV),e1,e2,n,k
211.341217,5.867289,-6.195093,9.595239,1.616521,2.967867
212.932571,5.82344,-6.231529,9.845193,1.646219,2.990245
214.523956,5.780241,-6.264057,10.099678,1.676375,3.012356
216.115387,5.737676,-6.292472,10.358689,1.706995,3.034189
217.706833,5.695733,-6.316567,10.622209,1.73808,3.055731
219.29834,5.654397,-6.336126,10.890219,1.769635,3.076968
220.889862,5.613657,-6.35093,11.162683,1.80166,3.097888
222.481415,5.573499,-6.360754,11.439562,1.834159,3.118476
224.072998,5.533911,-6.365367,11.720808,1.867133,3.138718
225.664627,5.49488,-6.364535,12.006366,1.900584,3.1586
227.256271,5.456395,-6.358019,12.296162,1.934511,3.178105
228.847977,5.418444,-6.345575,12.59012,1.968917,3.197219
230.439667,5.381018,-6.326958,12.888141,2.0038,3.215925
232.031418,5.344104,-6.301916,13.190127,2.03916,3.234206
233.623199,5.307692,-6.270197,13.495959,2.074995,3.252046
235.215012,5.271772,-6.231545,13.80551,2.111304,3.269427
236.806839,5.236335,-6.185707,14.118627,2.148084,3.286331
238.398712,5.201371,-6.132421,14.435159,2.185331,3.30274
239.990601,5.166869,-6.071432,14.754928,2.223041,3.318636
241.58252,5.132822,-6.002484,15.077744,2.26121,3.334
243.174469,5.09922,-5.92532,15.403403,2.299831,3.348812
244.766434,5.066054,-5.839687,15.731682,2.338898,3.363054
246.358429,5.033317,-5.745338,16.062342,2.378404,3.376706
247.95047,5.000999,-5.642025,16.39513,2.41834,3.389748
249.542511,4.969093,-5.529511,16.729765,2.458697,3.402161
251.134598,4.937592,-5.407562,17.065964,2.499464,3.413925
252.726685,4.906486,-5.275956,17.403406,2.540629,3.425019
254.318817,4.87577,-5.134475,17.741777,2.582182,3.435424
255.910965,4.845435,-4.982919,18.080721,2.624106,3.44512
257.503143,4.815475,-4.82109,18.419884,2.666389,3.454088
259.095337,4.785883,-4.648816,18.758877,2.709014,3.462307
260.687561,4.756652,-4.465927,19.097309,2.751964,3.46976
262.279816,4.727775,-4.272282,19.434761,2.795221,3.476427
263.872101,4.699246,-4.067745,19.770809,2.838766,3.482289
265.464386,4.67106,-3.852214,20.105,2.882578,3.48733
267.056702,4.643209,-3.625595,20.436876,2.926635,3.491531
268.649017,4.615688,-3.387823,20.765966,2.970916,3.494877
270.241364,4.588491,-3.138859,21.091778,3.015394,3.49735
271.83374,4.561612,-2.878677,21.413826,3.060047,3.498938
273.426117,4.535046,-2.607294,21.731594,3.104847,3.499624
275.018555,4.508787,-2.324739,22.044579,3.149768,3.499397
276.610992,4.48283,-2.031083,22.352249,3.194781,3.498244
278.20343,4.45717,-1.726424,22.654079,3.239857,3.496155
279.795898,4.431802,-1.410875,22.949554,3.284966,3.493119
281.388367,4.406721,-1.084605,23.238138,3.330077,3.489129
282.980896,4.381921,-0.747795,23.519306,3.375159,3.484178
284.573425,4.357399,-0.400666,23.792542,3.420179,3.47826
286.165955,4.33315,-0.043475,24.057322,3.465104,3.471371
287.758484,4.309169,0.323497,24.313148,3.5099,3.46351
289.351044,4.285452,0.699929,24.559523,3.554534,3.454675
290.943665,4.261994,1.085484,24.795971,3.598972,3.444868
292.536224,4.238791,1.479764,25.022018,3.643178,3.434092
294.128845,4.215839,1.88238,25.23723,3.68712,3.42235
295.721497,4.193135,2.29288,25.441175,3.730762,3.409649
297.314117,4.170673,2.710799,25.633451,3.774069,3.395997
298.906769,4.148451,3.135651,25.813688,3.817007,3.381404
300.499451,4.126463,3.566922,25.981535,3.859544,3.365881
302.092102,4.104708,4.004066,26.136673,3.901645,3.349443
303.684814,4.083181,4.446531,26.278814,3.943278,3.332103
305.277527,4.061878,4.893735,26.407701,3.98441,3.313878
306.870239,4.040796,5.345092,26.523119,4.025012,3.294788
308.462952,4.019931,5.799992,26.624876,4.065051,3.274851
310.055695,3.999282,6.257817,26.712826,4.1045,3.25409
311.648438,3.978842,6.717953,26.786858,4.143331,3.232527
313.24118,3.958611,7.179766,26.846891,4.181515,3.210187
314.833954,3.938584,7.642631,26.892895,4.219029,3.187095
316.426727,3.918759,8.105912,26.924862,4.255848,3.163278
318.019501,3.899132,8.568985,26.942833,4.291949,3.138764
319.612305,3.8797,9.031236,26.946882,4.327312,3.113582
321.205109,3.860462,9.492046,26.937115,4.361917,3.087761
322.797913,3.841413,9.950818,26.913677,4.395745,3.061333
324.390686,3.822551,10.406963,26.876747,4.428782,3.034328
325.983521,3.803873,10.859919,26.826532,4.461012,3.006777
327.576355,3.785377,11.309126,26.763275,4.492422,2.978713
329.169189,3.76706,11.754059,26.687243,4.523003,2.950169
330.762024,3.748919,12.194194,26.598734,4.552743,2.921177
332.354858,3.730952,12.629057,26.49807,4.581636,2.891769
333.947693,3.713156,13.058179,26.385593,4.609675,2.861979
335.540558,3.695529,13.481122,26.261671,4.636857,2.83184
337.133392,3.678069,13.897476,26.126688,4.663177,2.801383
338.726257,3.660773,14.306861,25.981045,4.688636,2.77064
340.319092,3.643639,14.708919,25.825157,4.713233,2.739644
341.911957,3.626665,15.103333,25.659449,4.736971,2.708424
343.504822,3.609848,15.489791,25.484364,4.759851,2.677012
345.097687,3.593186,15.868038,25.300339,4.78188,2.645438
346.690552,3.576677,16.237827,25.107832,4.803063,2.613731
348.283386,3.560319,16.598944,24.907297,4.823407,2.58192
349.876282,3.54411,16.95121,24.699186,4.842919,2.550031
351.469147,3.528048,17.294466,24.483959,4.86161,2.518092
353.061981,3.512131,17.628576,24.262074,4.879489,2.486129
354.654846,3.496357,17.953447,24.033974,4.896568,2.454165
356.247742,3.480724,18.26899,23.800112,4.912858,2.422227
357.840576,3.46523,18.575144,23.56093,4.928372,2.390336
359.433411,3.449874,18.871881,23.31686,4.943124,2.358515
361.026306,3.434653,19.159195,23.068321,4.957128,2.326783
362.619141,3.419566,19.437082,22.815737,4.970397,2.295162
364.211975,3.404611,19.705576,22.559507,4.982949,2.26367
365.80484,3.389786,19.964718,22.300028,4.994797,2.232326
367.397675,3.375089,20.214575,22.037678,5.005958,2.201145
368.990509,3.36052,20.455217,21.772831,5.016448,2.170145
370.583313,3.346076,20.686741,21.50584,5.026282,2.139339
372.176147,3.331756,20.909254,21.237047,5.035479,2.108742
373.768982,3.317557,21.122869,20.966784,5.044054,2.078366
375.361786,3.303479,21.327719,20.69536,5.052024,2.048225
376.95459,3.289521,21.523935,20.423088,5.059406,2.018329
378.547394,3.27568,21.71167,20.150248,5.066216,1.988688
380.140198,3.261955,21.891077,19.877111,5.072473,1.959312
381.732971,3.248344,22.062315,19.603947,5.078191,1.93021
383.325745,3.234847,22.225554,19.330996,5.083388,1.901389
384.918518,3.221461,22.380966,19.058489,5.08808,1.872857
386.511261,3.208186,22.528727,18.78665,5.092283,1.84462
388.104004,3.19502,22.669014,18.515684,5.096014,1.816683
389.696747,3.181961,22.802015,18.245781,5.099287,1.789052
391.28949,3.169009,22.927912,17.977131,5.102118,1.761732
392.882202,3.156162,23.04689,17.709896,5.104524,1.734726
394.474915,3.143419,23.159138,17.444241,5.106518,1.708037
396.067596,3.130779,23.264839,17.180307,5.108116,1.681668
397.660278,3.11824,23.364182,16.918234,5.109331,1.655621
399.25296,3.1058,23.457354,16.658144,5.110178,1.629898
400.845612,3.09346,23.544537,16.400156,5.110671,1.604501
402.438232,3.081218,23.625914,16.144377,5.110823,1.57943
404.030884,3.069072,23.70167,15.890894,5.110647,1.554685
405.623474,3.057022,23.77198,15.639808,5.110157,1.530267
407.216095,3.045066,23.837025,15.391191,5.109363,1.506175
408.808655,3.033204,23.896975,15.14512,5.108279,1.482409
410.401276,3.021433,23.952002,14.901649,5.106916,1.458968
411.993805,3.009754,24.002274,14.660851,5.105286,1.43585
413.586334,2.998165,24.047956,14.422767,5.103399,1.413055
415.178864,2.986665,24.089211,14.187438,5.101267,1.39058
416.771393,2.975252,24.126194,13.954904,5.098899,1.368423
418.363861,2.963927,24.159061,13.725203,5.096307,1.346583
419.95636,2.952688,24.187963,13.498356,5.0935,1.325057
421.548767,2.941534,24.213045,13.274391,5.090487,1.303843
423.141205,2.930464,24.234451,13.053318,5.087276,1.282938
424.733643,2.919477,24.252323,12.835151,5.083879,1.262339
426.326019,2.908572,24.266794,12.619905,5.080302,1.242043
427.918396,2.897749,24.277998,12.407577,5.076554,1.222047
429.510803,2.887006,24.286062,12.198169,5.072643,1.202348
431.103119,2.876342,24.291109,11.991685,5.068576,1.182944
432.695404,2.865757,24.293264,11.78812,5.064363,1.163831
434.287689,2.85525,24.292641,11.58746,5.060008,1.145004
435.879974,2.84482,24.289354,11.389693,5.055519,1.126461
437.472229,2.834466,24.283512,11.194814,5.050903,1.108199
439.064453,2.824187,24.275225,11.002799,5.046166,1.090214
440.656677,2.813982,24.264595,10.813633,5.041315,1.072501
442.24884,2.803851,24.251719,10.627307,5.036355,1.055059
443.841003,2.793793,24.236696,10.443783,5.031292,1.037883
445.433167,2.783807,24.219618,10.263049,5.026131,1.020969
447.025238,2.773893,24.200577,10.085082,5.020879,1.004314
448.61734,2.764048,24.179657,9.90985,5.015539,0.987915
450.209381,2.754274,24.156944,9.737333,5.010118,0.971767
451.801422,2.744569,24.132521,9.567498,5.004618,0.955867
453.393402,2.734932,24.106461,9.400322,4.999046,0.940212
454.985413,2.725362,24.078842,9.235769,4.993405,0.924797
456.577332,2.71586,24.049738,9.073816,4.9877,0.909619
458.169281,2.706423,24.019217,8.914427,4.981934,0.894675
459.761169,2.697052,23.987347,8.757575,4.976111,0.879962
461.353027,2.687747,23.954195,8.603229,4.970235,0.865475
462.944885,2.678505,23.919821,8.451352,4.964311,0.851211
464.536713,2.669326,23.884285,8.301912,4.95834,0.837167
466.128479,2.660211,23.847649,8.154885,4.952326,0.823339
467.720215,2.651158,23.809963,8.010231,4.946273,0.809724
469.311951,2.642166,23.771284,7.867916,4.940183,0.796318
470.903656,2.633235,23.731667,7.727911,4.934059,0.783119
472.4953,2.624365,23.691154,7.590184,4.927905,0.770123
