X (cm),Y (cm),Unweighted Error,Surface Layer Thickness,a-SiH Thickness,Amp,Br,Eo,Eg,Ep
0,3.5,0.001791036,0.000289,52.581432,90.025673,2.44801,3.638211,1.606149,1.292471
2.1,2.8,0.001908064,0,51.260956,90.754425,2.445022,3.632146,1.607436,1.298602
1.4,2.8,0.001879077,0,51.744743,90.420792,2.446626,3.632833,1.604328,1.300742
0.7,2.8,0.001819279,0,52.160278,89.025406,2.458156,3.639897,1.617319,1.254739
0,2.8,0.001938763,0,52.682884,89.148613,2.455964,3.641755,1.613212,1.266757
-0.7,2.8,0.001812468,0.030489,53.041737,89.373283,2.455958,3.646999,1.621457,1.257429
-1.4,2.8,0.00179493,0.007628,53.360023,89.06916,2.453497,3.64401,1.612201,1.265511
-2.1,2.8,0.001854782,0.015033,53.70742,89.199478,2.454044,3.644451,1.614311,1.264101
-2.8,2.1,0.001791592,0.036846,53.496075,88.863533,2.457562,3.647175,1.620958,1.246101
-2.1,2.1,0.002031557,0.022762,53.442554,90.232773,2.449502,3.639534,1.607682,1.290273
-1.4,2.1,0.001786718,0.021505,53.321205,89.624153,2.452508,3.644387,1.61472,1.269309
-0.7,2.1,0.002058753,0.002891,53.19817,90.717087,2.446821,3.63362,1.601861,1.309064
0,2.1,0.001805466,0.008709,52.850441,89.115898,2.458983,3.64439,1.624164,1.246818
0.7,2.1,0.001942423,0,52.461967,90.284119,2.451589,3.636358,1.610962,1.284535
1.4,2.1,0.001943828,0,51.95517,89.997452,2.454514,3.632211,1.611322,1.279474
2.1,2.1,0.001856324,0,51.418598,89.75174,2.453726,3.632371,1.610385,1.277176
2.8,2.1,0.001954937,0,50.919548,90.475723,2.447992,3.630824,1.601664,1.300314
2.8,1.4,0.001981049,0,51.042786,90.663689,2.448188,3.629116,1.603454,1.299271
2.1,1.4,0.002130249,0,51.689526,90.787498,2.449552,3.629614,1.602724,1.302796
1.4,1.4,0.001745429,0,52.165924,89.766441,2.450545,3.635329,1.607771,1.278891
0.7,1.4,0.001909842,0.009488,52.526844,89.729774,2.4531,3.639848,1.611604,1.273592
0,1.4,0.001818128,0,52.942497,89.984863,2.450145,3.637989,1.607266,1.283834
-0.7,1.4,0.001717818,0.002935,53.08297,88.7304,2.460392,3.645662,1.62482,1.238284
-1.4,1.4,0.001771148,0.008315,53.198189,89.02166,2.453934,3.64357,1.61291,1.259702
-2.1,1.4,0.002005633,0.038429,53.189934,89.921783,2.452516,3.641767,1.614067,1.275876
-2.8,1.4,0.001809598,0.07439,53.171001,89.177444,2.451263,3.648008,1.619393,1.255443
-2.8,0.7,0.001806843,0.060358,52.85424,89.267464,2.453705,3.645145,1.61532,1.257972
-2.1,0.7,0.001948713,0.044602,53.020332,90.192947,2.450243,3.641659,1.614153,1.276458
-1.4,0.7,0.00191134,0.02896,53.081646,90.104126,2.450981,3.640108,1.611912,1.280124
-0.7,0.7,0.001824967,0.014094,52.959351,89.779022,2.453223,3.640645,1.613167,1.271055
0,0.7,0.001717173,0.001106,52.790813,88.947945,2.455167,3.643331,1.613588,1.255555
0.7,0.7,0.001719337,0,52.502796,89.079407,2.452839,3.642001,1.613906,1.257149
1.4,0.7,0.001721542,0,52.124195,89.172958,2.45764,3.638201,1.616506,1.254166
2.1,0.7,0.001948846,0,51.741474,90.337372,2.451776,3.632639,1.605402,1.289031
2.8,0.7,0.001828395,0,51.129921,90.246132,2.448735,3.629278,1.602293,1.290644
3.5,0,0.002212849,0,50.516331,90.250488,2.450558,3.620151,1.592089,1.303243
2.8,0,0.002198465,0,51.17083,90.4701,2.449506,3.625279,1.594845,1.304391
2.1,0,0.001939352,0,51.723927,90.224075,2.452301,3.631722,1.603505,1.28734
1.4,0,0.00189779,0,52.106964,90.297157,2.451818,3.63336,1.606832,1.286067
0.7,0,0.00191009,0.050883,52.44178,89.860924,2.452602,3.640727,1.615921,1.267013
0,0,0.001773879,0.016343,52.675274,88.88958,2.44999,3.64622,1.616811,1.251164
-0.7,0,0.001785404,0,52.769707,89.400299,2.457908,3.640993,1.617674,1.257027
-1.4,0,0.001750583,0.028199,52.857635,88.940643,2.462128,3.64644,1.625697,1.239753
-2.1,0,0.001684044,0.034573,52.84919,88.910362,2.456216,3.646886,1.620458,1.24554
-2.8,0,0.001836441,0.060918,52.657204,89.609032,2.454036,3.64361,1.616368,1.262442
-3.5,0,0.001736009,0.094999,52.636505,88.918236,2.451182,3.643458,1.605598,1.264722
-2.8,-0.7,0.001718248,0.055967,52.413902,89.512329,2.45316,3.644481,1.617665,1.258253
-2.1,-0.7,0.00167425,0.032322,52.650005,88.408371,2.458085,3.648928,1.625176,1.230656
-1.4,-0.7,0.001672887,0.031565,52.720806,88.950577,2.460598,3.648052,1.628044,1.233933
-0.7,-0.7,0.001865655,0.028932,52.720276,89.693092,2.458074,3.643349,1.6239,1.254243
0,-0.7,0.001789041,0.027672,52.635628,89.710236,2.456953,3.64179,1.624981,1.253085
0.7,-0.7,0.001743648,0.00596,52.291157,89.465874,2.458001,3.640835,1.617829,1.254366
1.4,-0.7,0.001876127,0.014913,52.083214,90.136757,2.453036,3.636479,1.610958,1.275629
2.1,-0.7,0.001954463,0.009719,51.704784,90.179375,2.453119,3.632745,1.606634,1.280612
2.8,-0.7,0.00198068,0.020991,51.109268,89.843552,2.453294,3.630155,1.604012,1.276615
2.8,-1.4,0.002014491,0.043023,50.81189,89.46785,2.452482,3.628731,1.601662,1.274518
2.1,-1.4,0.00203955,0.019797,51.63195,90.237686,2.45063,3.630792,1.600901,1.290083
1.4,-1.4,0.001798681,0.024958,52.02943,89.690834,2.453424,3.638419,1.611574,1.265612
0.7,-1.4,0.001776652,0,52.248482,89.661919,2.455937,3.637128,1.61345,1.264937
0,-1.4,0.001707472,0.012239,52.425373,88.808495,2.463061,3.645711,1.626314,1.231257
-0.7,-1.4,0.001681139,0.023883,52.622955,89.138504,2.457749,3.646209,1.623563,1.242363
-1.4,-1.4,0.00171736,0.020331,52.642384,88.515244,2.457346,3.648071,1.624028,1.231984
-2.1,-1.4,0.001646907,0.033651,52.46624,87.834457,2.463422,3.651162,1.633253,1.210041
-2.8,-1.4,0.001608591,0.023813,52.22348,88.640282,2.455662,3.644443,1.621082,1.240225
-2.8,-2.1,0.001769289,0.030231,52.076591,88.468063,2.46039,3.647915,1.626101,1.227979
-2.1,-2.1,0.001645205,0.02667,52.251972,88.511513,2.46218,3.648695,1.632282,1.221563
-1.4,-2.1,0.001645667,0.005989,52.479206,88.614853,2.462355,3.646039,1.626016,1.229422
-0.7,-2.1,0.00189905,0.020921,52.515362,87.316124,2.46633,3.655542,1.639572,1.18892
0,-2.1,0.001669391,0.041825,52.432831,88.85672,2.45879,3.64563,1.623258,1.235852
0.7,-2.1,0.001697955,0,52.230915,88.884735,2.460676,3.641312,1.619306,1.242344
1.4,-2.1,0.001786031,0.022785,51.942707,89.505264,2.459033,3.63972,1.619521,1.250936
2.1,-2.1,0.001751239,0.045511,51.511402,89.563675,2.452697,3.634874,1.609564,1.264485
2.8,-2.1,0.001729198,0.026868,50.427101,89.163254,2.453475,3.628699,1.604601,1.262767
2.1,-2.8,0.001733277,0.007584,51.375587,89.480423,2.45611,3.634469,1.608421,1.26458
1.4,-2.8,0.001696714,0.06692,51.829845,88.955544,2.453953,3.64146,1.616071,1.246533
0.7,-2.8,0.001769318,0.020197,52.129143,89.58625,2.459683,3.639645,1.619935,1.252121
0,-2.8,0.00187474,0.027065,52.370544,90.18483,2.454642,3.63791,1.614125,1.27273
-0.7,-2.8,0.001774092,0.018401,52.313934,89.149445,2.462361,3.642092,1.623941,1.241872
-1.4,-2.8,0.001695554,0.016523,52.212669,88.302765,2.462049,3.645447,1.625649,1.225554
-2.1,-2.8,0.001633487,0.022827,52.081573,88.795502,2.461666,3.645095,1.627393,1.230984
0,-3.5,0.001831886,0.02648,52.257652,89.991951,2.444623,3.636653,1.606056,1.283473
