BulkT,Amp,Br,Eo,Eg,Ep
106.292984,88.163528,2.411314,3.686675,1.640541,1.265434
105.986244,88.076164,2.401664,3.685767,1.628937,1.279319
106.507202,87.858574,2.402641,3.685886,1.629565,1.277368
106.512863,87.847229,2.397895,3.686755,1.623796,1.282536
106.525223,88.597916,2.393029,3.681651,1.61933,1.30441
106.467918,87.979538,2.399121,3.68529,1.623079,1.285389
106.238197,88.0382,2.396961,3.684855,1.618924,1.291419
105.663925,88.482048,2.386895,3.681868,1.606079,1.315995
105.432594,88.364845,2.391984,3.683039,1.61185,1.302803
106.183022,88.314865,2.394638,3.684182,1.620105,1.290406
106.772507,87.784874,2.399168,3.687209,1.625541,1.274786
106.731949,88.236671,2.393946,3.684846,1.617092,1.29345
106.819153,87.967644,2.395156,3.686147,1.616966,1.290312
106.926468,87.815285,2.401529,3.687793,1.626865,1.27197
106.572021,87.857513,2.396897,3.687243,1.620782,1.282694
106.28933,87.887718,2.402071,3.686497,1.62491,1.277623
105.891281,88.54628,2.406054,3.680447,1.625855,1.28981
106.304489,88.289017,2.407501,3.68308,1.62722,1.279896
106.952927,87.969231,2.407811,3.686152,1.632346,1.267486
107.066612,88.932449,2.402423,3.680975,1.622802,1.297402
107.126785,87.973198,2.400455,3.686415,1.622217,1.280259
107.058556,88.55925,2.396414,3.682696,1.616802,1.300353
106.882263,88.051971,2.39694,3.686348,1.617799,1.286587
107.106308,88.859566,2.407612,3.681648,1.629874,1.285204
106.346741,87.91185,2.401471,3.686278,1.623103,1.276908
105.755348,88.869934,2.401523,3.678927,1.619025,1.300123
105.602829,88.513786,2.400976,3.681957,1.618303,1.291315
106.319786,88.387955,2.400978,3.684192,1.62182,1.28411
107.086769,88.47776,2.410173,3.684618,1.636346,1.267452
107.111404,88.334969,2.40482,3.685442,1.628808,1.273394
107.060463,88.843765,2.400777,3.682808,1.620448,1.292583
107.102432,89.230484,2.398074,3.680108,1.61683,1.305879
107.140419,88.637894,2.398339,3.682371,1.618387,1.294945
106.888893,88.693748,2.399224,3.680153,1.617455,1.29883
106.335617,88.385201,2.402685,3.681782,1.618157,1.288999
106.174454,89.136833,2.419096,3.671711,1.628656,1.282763
106.913925,88.847557,2.413979,3.678479,1.631951,1.275991
107.271561,88.668846,2.40677,3.681908,1.626957,1.279637
107.354454,88.444199,2.398485,3.682826,1.620145,1.289743
107.182755,88.054062,2.394532,3.68527,1.616424,1.287693
107.311142,88.836967,2.400276,3.681321,1.620732,1.295265
107.072021,88.546822,2.402943,3.681986,1.623302,1.284288
107.153542,87.715492,2.410315,3.68776,1.636376,1.253188
106.334122,88.422066,2.405325,3.683532,1.626045,1.276973
105.539284,88.907112,2.402791,3.679018,1.618234,1.295744
105.131386,89.061867,2.422461,3.675303,1.635097,1.270747
105.443398,89.192841,2.40252,3.678654,1.618964,1.295903
106.062546,88.782013,2.395433,3.68169,1.612662,1.300337
106.595032,88.732498,2.394654,3.682971,1.614186,1.296951
107.129967,88.594437,2.402131,3.684259,1.623898,1.281131
107.204796,88.559944,2.39703,3.683305,1.6163,1.29281
107.545067,88.659096,2.398079,3.682322,1.620221,1.290922
107.399979,88.475288,2.398628,3.682997,1.617494,1.288371
107.371765,89.153862,2.405038,3.677855,1.621769,1.29307
106.799583,89.65802,2.412632,3.671185,1.623491,1.298032
106.552589,89.33007,2.407918,3.670653,1.61983,1.297243
107.685547,89.06955,2.403587,3.677678,1.619416,1.293457
107.754555,88.949753,2.393995,3.679902,1.609811,1.305551
107.766823,89.632637,2.3977,3.676951,1.614974,1.311841
107.389404,89.443481,2.392016,3.678325,1.609076,1.31598
107.044373,89.063774,2.391141,3.68042,1.6103,1.307595
106.586807,88.281075,2.390134,3.684858,1.609175,1.293468
106.183754,88.532707,2.396899,3.68341,1.615638,1.289567
105.224098,89.211296,2.397,3.677397,1.611555,1.30644
105.432411,89.447647,2.401891,3.677469,1.617351,1.299839
106.027573,89.849579,2.387076,3.674827,1.60091,1.333295
106.85054,89.092499,2.390652,3.679452,1.607585,1.310127
107.25061,89.288925,2.388745,3.679031,1.604988,1.317098
107.864502,88.816483,2.394156,3.682423,1.614352,1.294229
107.879539,89.639854,2.38699,3.676483,1.60175,1.327115
108.191879,89.033104,2.39442,3.679482,1.609528,1.305259
108.469467,89.004623,2.407717,3.678402,1.625001,1.282605
106.969971,90.041328,2.41175,3.667063,1.619433,1.306283
109.10553,89.655014,2.402067,3.675539,1.616454,1.304672
109.00753,89.844154,2.394397,3.674702,1.608667,1.320403
108.901634,89.166328,2.399058,3.678354,1.615858,1.299215
108.493835,89.356979,2.39561,3.676996,1.610814,1.3106
107.902023,89.599701,2.393565,3.676185,1.610644,1.313969
107.224167,89.713554,2.396426,3.674936,1.609025,1.318417
106.606239,89.55545,2.406678,3.676771,1.622101,1.293562
109.206375,89.595322,2.406672,3.675743,1.620011,1.295324
