X (cm),Y (cm),Unweighted Error,Surface Roughness Thickness ,a-SiH Thickness,Amp,Br,Eo,Eg,Ep
0,3.5,0.002186871,0,106.053177,89.905685,2.398371,3.673803,1.617095,1.329741
2.1,2.8,0.002433366,0,105.923218,89.876717,2.397066,3.67224,1.617582,1.330021
1.4,2.8,0.002605325,0,106.424454,89.805901,2.397927,3.670606,1.618151,1.331028
0.7,2.8,0.002942617,0,106.504189,89.804413,2.395762,3.670895,1.617303,1.330588
0,2.8,0.002733919,0,106.53093,89.796211,2.394623,3.671862,1.617313,1.330704
-0.7,2.8,0.002884081,0,106.506737,89.787895,2.394729,3.671486,1.617278,1.330755
-1.4,2.8,0.002959579,0,106.302231,89.77211,2.395075,3.670377,1.616542,1.330611
-2.1,2.8,0.003266847,0,105.840881,89.751724,2.394193,3.669935,1.615186,1.330482
-2.8,2.1,0.003062333,0,105.532211,89.767792,2.392908,3.670559,1.613713,1.329708
-2.1,2.1,0.002743116,0,106.124573,89.773621,2.391758,3.671964,1.612557,1.329193
-1.4,2.1,0.002940528,0,106.667282,89.721619,2.393271,3.671593,1.61285,1.329934
-0.7,2.1,0.003169841,0,106.723923,89.72522,2.392182,3.672503,1.612433,1.329699
0,2.1,0.003296108,0,106.816795,89.671326,2.394119,3.671772,1.612579,1.330533
0.7,2.1,0.002912845,0,106.819077,89.700996,2.392071,3.67288,1.611987,1.329631
1.4,2.1,0.00310515,0,106.548599,89.66082,2.392796,3.672562,1.61244,1.330235
2.1,2.1,0.002782853,0,106.231644,89.654724,2.393128,3.672451,1.612578,1.330137
2.8,2.1,0.002258493,0,105.801834,89.661537,2.394898,3.671779,1.612981,1.329906
2.8,1.4,0.002459726,0,106.171448,89.700333,2.395169,3.671933,1.612005,1.3288
2.1,1.4,0.002517775,0,106.757462,89.709976,2.395077,3.672795,1.612211,1.328418
1.4,1.4,0.002614311,0,106.94619,89.740799,2.394748,3.674265,1.611802,1.327762
0.7,1.4,0.003164973,0,107.052124,89.703712,2.395822,3.672611,1.61203,1.328228
0,1.4,0.003129964,0,107.037193,89.688309,2.395612,3.673419,1.612339,1.328561
-0.7,1.4,0.003314193,0,106.906723,89.69632,2.39403,3.673278,1.611869,1.328125
-1.4,1.4,0.002337132,0,106.923363,89.754181,2.393315,3.674948,1.611757,1.327002
-2.1,1.4,0.002906179,0,106.313339,89.707489,2.394744,3.671984,1.612465,1.327564
-2.8,1.4,0.002422596,0,105.728439,89.727951,2.395165,3.671664,1.612198,1.32698
-2.8,0.7,0.002665278,0,105.586731,89.751915,2.394861,3.671597,1.611321,1.326187
-2.1,0.7,0.002696589,0,106.213966,89.757912,2.394994,3.672831,1.610612,1.325794
-1.4,0.7,0.002296983,0,106.820656,89.795372,2.394169,3.674969,1.611689,1.325204
-0.7,0.7,0.002765114,0,106.947647,89.801102,2.393801,3.674548,1.611752,1.324945
0,0.7,0.002876327,0,106.980789,89.820221,2.394067,3.674526,1.611194,1.32436
0.7,0.7,0.002833804,0,107.036209,89.814156,2.394534,3.675009,1.611359,1.324521
1.4,0.7,0.002911014,0,107.081985,89.764519,2.396506,3.673142,1.61195,1.32538
2.1,0.7,0.002751526,0,106.868362,89.727837,2.397514,3.671618,1.61241,1.325959
2.8,0.7,0.002729089,0,106.338623,89.737213,2.397356,3.670546,1.611831,1.325373
3.5,0,0.001765399,0,106.077248,89.687988,2.415919,3.666951,1.620689,1.303062
2.8,0,0.001973252,0,106.787743,89.652695,2.410709,3.671973,1.621599,1.304014
2.1,0,0.002323998,0,107.203323,89.633842,2.408002,3.673748,1.621651,1.304306
1.4,0,0.002855379,0,107.377831,89.528244,2.407649,3.673109,1.622622,1.306287
0.7,0,0.003378921,0,107.297325,89.478897,2.405904,3.672932,1.622724,1.307043
0,0,0.002751318,0,107.325943,89.498535,2.403538,3.674834,1.621765,1.306492
-0.7,0,0.002592173,0,107.094749,89.499588,2.402717,3.673792,1.621233,1.306157
-1.4,0,0.002471788,0,107.037025,89.470085,2.402782,3.673957,1.622099,1.306663
-2.1,0,0.002491107,0,106.340561,89.505157,2.401223,3.674131,1.621259,1.30563
-2.8,0,0.002425631,0,105.59243,89.499557,2.403456,3.672731,1.620306,1.305391
-3.5,0,0.001803516,0,104.99453,89.765488,2.414831,3.670246,1.622177,1.300874
-2.8,-0.7,0.002287589,0,105.44796,89.742477,2.410751,3.673076,1.621724,1.301271
-2.1,-0.7,0.003022791,0,106.137878,89.625328,2.410072,3.672927,1.621565,1.3033
-1.4,-0.7,0.00309699,0,106.64286,89.588875,2.406593,3.674401,1.620559,1.303707
-0.7,-0.7,0.002689492,0,107.077293,89.570076,2.404647,3.675575,1.620216,1.303903
0,-0.7,0.003166642,0,107.243935,89.502792,2.405453,3.674431,1.620373,1.305038
0.7,-0.7,0.002775044,0,107.531723,89.467987,2.403571,3.674829,1.620185,1.305539
1.4,-0.7,0.002959332,0,107.48674,89.467758,2.402558,3.674745,1.619859,1.305389
2.1,-0.7,0.002319341,0,107.360046,89.507256,2.401816,3.674276,1.618794,1.30434
2.8,-0.7,0.001752613,0,106.711349,89.575508,2.409236,3.671439,1.617804,1.303079
2.8,-1.4,0.001702258,0,106.539307,89.555008,2.408859,3.668964,1.618132,1.303315
2.1,-1.4,0.002337896,0,107.582619,89.481033,2.407765,3.673521,1.614803,1.304801
1.4,-1.4,0.003030818,0,107.775963,89.433578,2.405593,3.674693,1.615178,1.305775
0.7,-1.4,0.002594355,0,107.718323,89.44912,2.402541,3.677249,1.615237,1.305687
0,-1.4,0.00303949,0,107.436317,89.42907,2.400981,3.67688,1.615195,1.30603
-0.7,-1.4,0.003075525,0,107.097458,89.400932,2.399378,3.676375,1.615256,1.306482
-1.4,-1.4,0.003632022,0,106.694298,89.354385,2.398574,3.674714,1.61494,1.307022
-2.1,-1.4,0.002978847,0,106.213234,89.351845,2.397811,3.675652,1.614806,1.307
-2.8,-1.4,0.002662614,0,105.253647,89.369987,2.398623,3.674324,1.613898,1.306407
-2.8,-2.1,0.00228985,0,105.360619,89.431999,2.397837,3.676399,1.612755,1.305163
-2.1,-2.1,0.003060234,0,106.067795,89.364326,2.400344,3.675927,1.612113,1.306481
-1.4,-2.1,0.003189157,0,106.83313,89.318138,2.399882,3.675718,1.61137,1.307194
-0.7,-2.1,0.003342389,0,107.249374,89.29879,2.398624,3.676771,1.610641,1.30751
0,-2.1,0.00311764,0,107.768784,89.300346,2.396652,3.677408,1.610057,1.307333
0.7,-2.1,0.003398899,0,107.899094,89.287453,2.396592,3.677494,1.609933,1.307593
1.4,-2.1,0.003089323,0,108.152893,89.258812,2.397938,3.676253,1.609763,1.308038
