MSE,EMAT,BulkT,Amp,Br,Eo,Eg,Ep
3.32203,0.767683,109.817764,87.057449,2.441415,3.741779,1.621587,1.250112
3.1084,0.744475,105.175133,87.720459,2.4379,3.736835,1.619374,1.265999
3.208707,0.727705,107.593933,87.744766,2.437567,3.7344,1.618444,1.266049
3.085625,0.706175,107.935913,87.792244,2.437539,3.734736,1.619426,1.264254
2.993228,0.699846,107.881371,87.745827,2.43726,3.735099,1.620066,1.262842
3.004921,0.701037,107.798302,87.877953,2.438698,3.734024,1.619578,1.265433
3.060203,0.70958,107.671692,87.862625,2.438412,3.734386,1.619337,1.26532
3.302587,0.742127,106.48468,87.703461,2.438948,3.737309,1.618255,1.264509
3.052155,0.764444,105.855392,87.636284,2.438721,3.737953,1.618802,1.261774
2.75493,0.773958,99.825546,88.051033,2.435369,3.737561,1.619027,1.273039
2.817707,0.733458,100.067711,88.2491,2.436237,3.737509,1.620655,1.275246
2.790469,0.719715,102.023888,88.02964,2.436708,3.737838,1.621571,1.269368
2.742464,0.727927,101.827225,87.89669,2.435463,3.738907,1.622202,1.266491
2.761145,0.707315,101.764557,88.100395,2.436553,3.736908,1.621877,1.27106
2.779119,0.711956,101.772499,88.151833,2.435793,3.736307,1.621534,1.272626
2.753554,0.717212,101.182228,88.165054,2.436697,3.736282,1.621335,1.274124
2.66354,0.749978,97.123009,88.38485,2.435979,3.736872,1.620002,1.280431
3.224281,0.777167,106.033241,87.102737,2.439562,3.745053,1.62389,1.251573
3.236598,0.768774,109.51239,86.778908,2.441187,3.74574,1.625899,1.243628
2.883582,0.734178,101.774399,87.84185,2.437172,3.740499,1.623482,1.267729
2.728956,0.734647,100.521683,87.961731,2.435517,3.739646,1.623502,1.269339
2.652591,0.723841,100.093918,88.085381,2.434857,3.738468,1.623185,1.270446
2.810935,0.736445,100.244858,88.282593,2.432901,3.735912,1.620251,1.278704
2.631248,0.725632,100.138321,88.167503,2.43491,3.73746,1.62269,1.272148
2.696211,0.728814,100.458908,88.131844,2.43514,3.737787,1.621935,1.27194
2.771222,0.71419,101.426285,88.166496,2.436607,3.736274,1.621896,1.273174
2.854311,0.743189,105.141281,87.632278,2.438422,3.73875,1.622439,1.261793
2.783384,0.738132,105.615761,87.530296,2.438639,3.739426,1.623685,1.258945
2.729705,0.732838,101.214432,88.004257,2.435849,3.738392,1.623185,1.269491
2.643015,0.73923,100.003609,88.041534,2.435279,3.739305,1.623724,1.269223
2.613101,0.701265,99.528954,88.335297,2.435147,3.736214,1.623291,1.275783
2.616003,0.731166,99.539246,88.086189,2.434511,3.739009,1.624079,1.270728
2.610936,0.723448,99.564003,88.160324,2.434815,3.738423,1.623744,1.272654
2.739217,0.72782,100.122803,87.994095,2.435568,3.740173,1.624369,1.270298
