X (cm),Y (cm),Unweighted Error,a-SiH Thickness,Amp,Br,Eo,Eg,Ep
2.7,12.3,0.007986751,109.539474,103.0942,2.41496,3.542288,1.582928,1.608673
3.9,12.3,0.007718532,104.851646,101.021545,2.4331,3.5557,1.595737,1.548787
5.1,12.3,0.0075805,107.267899,101.942993,2.421229,3.550946,1.587891,1.577003
6.3,12.3,0.007366463,107.595009,101.591049,2.422198,3.556251,1.589125,1.567718
7.5,12.3,0.007284496,107.535217,101.309502,2.423346,3.55869,1.590367,1.561164
8.7,12.3,0.007293476,107.452415,101.520653,2.424008,3.55704,1.589967,1.564718
9.9,12.3,0.007389576,107.332764,101.628593,2.423719,3.555632,1.589708,1.566823
11.1,12.3,0.007761029,106.165955,101.603867,2.428044,3.553262,1.590496,1.565333
12.3,12.3,0.007877506,105.553673,101.654686,2.430088,3.550175,1.592234,1.562305
12.3,11.1,0.0079299,99.50486,99.822983,2.452242,3.5605,1.610631,1.50171
11.1,11.1,0.007595245,99.716057,99.368752,2.453073,3.5697,1.612498,1.491931
9.9,11.1,0.007435339,101.668182,99.455727,2.447558,3.570271,1.608383,1.500364
8.7,11.1,0.007496313,101.477493,99.353142,2.447547,3.570009,1.609326,1.497598
7.5,11.1,0.00731681,101.397652,99.205795,2.448536,3.572854,1.609799,1.494413
6.3,11.1,0.007363289,101.409325,99.381905,2.447128,3.571035,1.609272,1.498411
5.1,11.1,0.007407587,100.820686,99.304771,2.450012,3.570698,1.610664,1.495544
3.9,11.1,0.007728493,96.771759,99.455925,2.458551,3.566308,1.61749,1.486661
2.7,11.1,0.008070817,105.742203,101.30262,2.432457,3.553914,1.596457,1.55751
2.7,9.9,0.007986464,109.233315,102.540352,2.418348,3.547128,1.58825,1.59572
3.9,9.9,0.007600011,101.427719,99.461243,2.448894,3.569701,1.610554,1.501848
5.1,9.9,0.007569109,100.171463,99.168854,2.451852,3.571087,1.614051,1.489969
6.3,9.9,0.00745252,99.734406,98.969551,2.452723,3.573232,1.615074,1.482959
7.5,9.9,0.007604456,99.895149,99.577438,2.447995,3.567035,1.611448,1.499578
8.7,9.9,0.007460368,99.780563,99.12764,2.452113,3.571628,1.614443,1.486074
9.9,9.9,0.00750476,100.104683,99.237946,2.451273,3.570732,1.612778,1.490129
11.1,9.9,0.007383546,101.063248,99.343987,2.449,3.570891,1.610531,1.496387
12.3,9.9,0.00763938,104.817688,100.831787,2.434934,3.558175,1.599102,1.542084
12.3,8.7,0.007566475,105.289993,100.828278,2.433689,3.55887,1.599022,1.543364
11.1,8.7,0.0075401,100.865395,99.432747,2.449139,3.568948,1.611811,1.497177
9.9,8.7,0.007587049,99.655647,99.208656,2.453049,3.570271,1.615397,1.48696
8.7,8.7,0.007247249,99.14949,98.732819,2.454272,3.576868,1.617099,1.476162
7.5,8.7,0.007515642,99.18309,98.989937,2.453882,3.572558,1.61712,1.481497
6.3,8.7,0.007442991,99.20179,98.946304,2.453954,3.573753,1.616918,1.481109
5.1,8.7,0.007514954,99.76503,98.991486,2.453284,3.573654,1.616019,1.48532
3.9,8.7,0.007530431,101.759773,99.292679,2.449363,3.571647,1.611744,1.498479
2.7,8.7,0.007800711,109.747757,102.385185,2.419208,3.549931,1.589316,1.592727
2.7,7.5,0.008025945,110.123009,102.754913,2.415094,3.546369,1.588472,1.602826
3.9,7.5,0.007845587,101.863327,99.729637,2.447544,3.566939,1.611661,1.508892
5.1,7.5,0.007476223,99.650169,98.979759,2.454797,3.573941,1.617965,1.483479
6.3,7.5,0.007289204,98.999565,98.672112,2.454885,3.577152,1.618689,1.474989
7.5,7.5,0.007575518,99.198792,98.989067,2.453757,3.57174,1.617911,1.481395
8.7,7.5,0.007359838,99.011505,98.794258,2.453453,3.574728,1.617802,1.477497
9.9,7.5,0.007468203,99.408318,99.057175,2.452771,3.572335,1.617065,1.484209
11.1,7.5,0.00746877,100.697884,99.324242,2.448788,3.569952,1.613304,1.495173
12.3,7.5,0.007791425,105.295555,101.213028,2.430698,3.554345,1.598979,1.552837
12.3,6.3,0.007807639,105.077675,100.984718,2.434979,3.55565,1.601912,1.545334
11.1,6.3,0.007684555,100.589798,99.48333,2.449874,3.567312,1.614895,1.496202
9.9,6.3,0.007658277,99.311432,99.160866,2.453372,3.569632,1.618082,1.484993
8.7,6.3,0.007463674,98.827225,99.016068,2.452054,3.572395,1.618937,1.481105
7.5,6.3,0.007433195,98.849495,98.86438,2.453582,3.574017,1.619544,1.478128
6.3,6.3,0.007443768,99.053848,98.817741,2.454511,3.574524,1.619953,1.47832
5.1,6.3,0.007648685,99.712128,99.104622,2.454015,3.570597,1.618347,1.486068
3.9,6.3,0.007751123,101.741066,99.523659,2.448785,3.567891,1.613363,1.50332
2.7,6.3,0.008092802,110.000504,102.824669,2.414963,3.544503,1.58945,1.604798
2.7,5.1,0.007943303,109.627419,102.541389,2.415733,3.547874,1.591206,1.59724
3.9,5.1,0.008179678,101.935127,100.536507,2.442512,3.556874,1.610565,1.527984
5.1,5.1,0.007708333,99.80587,99.317314,2.45146,3.568202,1.617903,1.492794
6.3,5.1,0.007470811,99.203827,98.935631,2.453207,3.573227,1.619831,1.482012
7.5,5.1,0.007668188,99.092728,99.171059,2.453458,3.569427,1.619885,1.485358
8.7,5.1,0.007555367,99.06842,99.144783,2.451116,3.570648,1.619015,1.485798
9.9,5.1,0.007696414,99.466194,99.251488,2.451213,3.568058,1.618662,1.488813
11.1,5.1,0.007788682,100.486755,99.650078,2.449051,3.565135,1.615583,1.500588
12.3,5.1,0.007703094,104.604065,100.650078,2.434993,3.558128,1.603625,1.538089
12.3,3.9,0.007763484,104.84819,100.913185,2.433062,3.55526,1.603194,1.54556
11.1,3.9,0.007815115,101.08709,99.711273,2.446923,3.563623,1.614923,1.505011
9.9,3.9,0.007806292,100.302528,99.544266,2.447861,3.565738,1.616468,1.49887
8.7,3.9,0.007897789,100.140488,99.670692,2.44753,3.563155,1.616562,1.50162
7.5,3.9,0.007729939,100.042198,99.433327,2.448453,3.567226,1.617487,1.496161
6.3,3.9,0.0076545,100.024559,99.381897,2.448816,3.56813,1.617598,1.495155
5.1,3.9,0.008012927,100.515671,99.760582,2.448462,3.563792,1.616781,1.505436
3.9,3.9,0.008358294,102.217133,100.607964,2.442927,3.554891,1.610992,1.530778
2.7,3.9,0.008547873,109.923363,103.612099,2.411013,3.534746,1.588437,1.623971
2.7,2.7,0.008316465,112.271568,104.197578,2.401283,3.533103,1.584242,1.643353
3.9,2.7,0.008283186,106.074974,102.004524,2.425846,3.545084,1.599555,1.574837
5.1,2.7,0.007817867,104.992188,100.7547,2.431953,3.557873,1.604693,1.543491
6.3,2.7,0.007894963,105.104637,100.906883,2.429335,3.555939,1.603786,1.54718
7.5,2.7,0.008528317,105.547646,102.225723,2.420667,3.541364,1.597848,1.579335
8.7,2.7,0.007936281,105.236305,101.113983,2.428107,3.553829,1.603162,1.551085
9.9,2.7,0.007989708,105.287537,101.037209,2.428179,3.553967,1.603021,1.550455
11.1,2.7,0.008139421,105.718277,101.676788,2.4247,3.547889,1.600257,1.565519
12.3,2.7,0.008102488,108.259377,102.908127,2.413693,3.540152,1.591951,1.600808
